,sent,pred,actual,lab,pred_num,
0,"<|endoftext|>it 's a charming and often affecting journey .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive andTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
1,"<|endoftext|>unflinchingly bleak and desperate  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative.TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
2,"<|endoftext|>allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
3,"<|endoftext|>the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",negativeitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,0,1
4,"<|endoftext|>it 's slow -- very , very slow .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",negativeative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
5,"<|endoftext|>although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitivelyTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
6,"<|endoftext|>a sometimes tedious film .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",aative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
7,"<|endoftext|>or doing last year 's taxes with your ex-wife .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",Negative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,0,0
8,"<|endoftext|>you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveitive orTheThe,Positive<|endoftext|><|endoftext|><|endoftext|>,1,1,0
9,"<|endoftext|>in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .  Question: What is the sentiment of the previous sentence, is it Positive or Negative? Answer: ",positiveative .TheThe,Negative<|endoftext|><|endoftext|><|endoftext|>,0,1,1
